Date,Close,MACD,MACD_sign
2000-01-04,6110.0,0.0,매도
2000-01-05,5580.0,-11.891025641026317,매수
2000-01-06,5620.0,-13.911129272204562,매수
2000-01-07,5540.0,-17.377355074592742,매수
2000-01-10,5770.0,-9.742783935605075,매도
2000-01-11,5770.0,-4.970239362419306,매도
2000-01-12,5720.0,-4.089033647625001,매도
2000-01-13,5710.0,-3.908010021885275,매도
2000-01-14,5830.0,2.2304442792046757,매도
2000-01-17,6100.0,20.459971526000118,매도
2000-01-18,6100.0,33.345982902309515,매도
2000-01-19,5960.0,34.64936077292623,매도
2000-01-20,6040.0,39.6753967050945,매도
2000-01-21,5880.0,33.649163604824025,매도
2000-01-24,5700.0,17.993656269722123,매수
2000-01-25,5440.0,-9.88072084250689,매수
2000-01-26,5480.0,-28.540818098451382,매수
2000-01-27,5520.0,-39.95906816035949,매수
2000-01-28,5820.0,-29.003427786551583,매수
2000-01-31,5580.0,-35.85365107123107,매수
2000-02-01,5320.0,-57.9180116262587,매수
2000-02-02,5250.0,-79.00570003841585,매수
2000-02-03,5130.0,-102.57613100555227,매수
2000-02-04,5130.0,-119.67203496024831,매수
2000-02-07,5240.0,-123.91367463147435,매수
2000-02-08,5430.0,-112.42226754216608,매수
2000-02-09,5720.0,-81.59936209089483,매도
2000-02-10,5760.0,-53.75455139784299,매도
2000-02-11,5700.0,-35.72918359436153,매도
2000-02-14,5380.0,-44.48438554186305,매도
2000-02-15,5200.0,-63.97176037376721,매수
2000-02-16,5000.0,-93.18013953940135,매수
2000-02-17,5080.0,-109.00930795876957,매수
2000-02-18,5300.0,-103.74591336893445,매수
2000-02-21,5070.0,-115.64819534839535,매수
2000-02-22,5120.0,-119.86681704526382,매수
2000-02-23,5140.0,-120.27778868225141,매수
2000-02-24,5070.0,-124.52556018033374,매수
2000-02-25,5120.0,-122.61331359442283,매수
2000-02-28,4800.0,-144.15419727781045,매수
2000-02-29,5120.0,-134.83846780585918,매수
2000-03-01,5120.0,-125.99942383089183,매수
2000-03-02,5880.0,-59.054565527737395,매도
2000-03-03,6000.0,3.31236317413277,매도
2000-03-06,5640.0,24.224651979056944,매도
2000-03-07,5620.0,38.770870219989774,매도
2000-03-08,5920.0,73.05499156805945,매도
2000-03-09,5620.0,75.68914350788327,매도
2000-03-10,5540.0,70.64110995577357,매도
2000-03-13,5180.0,37.72974279497976,매도
2000-03-14,5210.0,13.870310550760223,매수
2000-03-15,5400.0,9.923191947211308,매수
2000-03-16,5400.0,6.71811535400866,매수
2000-03-17,5480.0,10.419748972710295,매수
2000-03-20,5660.0,27.365770734574653,매도
2000-03-21,5880.0,57.65843513026357,매도
2000-03-22,6200.0,105.9616960983958,매도
2000-03-23,6200.0,142.5905687951099,매도
2000-03-24,6800.0,217.04565964351968,매도
2000-03-27,6800.0,272.89462579062456,매도
2000-03-28,7030.0,331.72316572363343,매도
2000-03-29,7660.0,423.8846722884791,매도
2000-03-30,7050.0,442.9409098611859,매도
2000-03-31,6700.0,425.0844995006282,매도
2000-04-03,7100.0,437.9560299597297,매도
2000-04-04,6800.0,419.2509576613702,매도
2000-04-05,6800.0,399.8151565064745,매도
2000-04-06,6680.0,370.5035893152972,매도
2000-04-07,7200.0,384.60576160039454,매도
2000-04-10,7300.0,399.2111616696993,매도
2000-04-11,7100.0,390.20961596598863,매도
2000-04-12,6910.0,363.6065659516835,매수
2000-04-13,6910.0,338.6187418167883,매수
2000-04-14,6260.0,263.491511615749,매수
2000-04-17,5520.0,142.76869365167295,매수
2000-04-18,6040.0,87.93132594667622,매수
2000-04-19,6000.0,40.7835514221033,매수
2000-04-20,6020.0,4.972369871526098,매수
2000-04-21,6050.0,-20.75264609417991,매수
2000-04-24,5800.0,-60.57423604957057,매수
2000-04-25,5640.0,-103.82249743254579,매수
2000-04-26,5600.0,-139.70772245489115,매수
2000-04-27,5400.0,-182.15932042016175,매수
2000-04-28,6000.0,-165.54811519043596,매수
2000-05-01,6000.0,-150.6468692018634,매수
2000-05-02,6280.0,-114.94669868775418,매수
2000-05-03,6180.0,-93.63476900815476,매수
2000-05-04,6180.0,-75.8703738497934,매도
2000-05-05,6180.0,-61.08782208340017,매도
2000-05-08,6560.0,-18.524173577419788,매도
2000-05-09,6560.0,15.034176647269305,매도
2000-05-10,6350.0,24.415667493121873,매도
2000-05-11,6350.0,31.48749491263152,매도
2000-05-12,6160.0,21.522641573116744,매도
2000-05-15,6440.0,35.792511428297985,매도
2000-05-16,6800.0,75.26604699379186,매도
2000-05-17,6920.0,114.90214251052657,매도
2000-05-18,6800.0,135.07839754131783,매도
2000-05-19,6900.0,157.32001197352383,매도
2000-05-22,6670.0,154.61290660068698,매도
2000-05-23,6380.0,127.60502399931192,매도
2000-05-24,6200.0,90.63705115246103,매수
2000-05-25,6000.0,44.69164033487141,매수
2000-05-26,5600.0,-23.71359268310698,매수
2000-05-29,5460.0,-88.20186447532615,매수
2000-05-30,5460.0,-137.72149536772122,매수
2000-05-31,6160.0,-119.1225633480326,매수
2000-06-01,6300.0,-92.0276775090415,매수
2000-06-02,6620.0,-44.22909012041873,매수
2000-06-05,6740.0,3.2946789957268265,매도
2000-06-06,6740.0,40.490765985635335,매도
2000-06-07,6800.0,73.95701219171224,매도
2000-06-08,6530.0,77.79899812774693,매도
2000-06-09,7020.0,119.00517737589416,매도
2000-06-12,7190.0,163.4923999517514,매도
