Date,Close,RSI,RSI_sign
2000-01-21,5880.0,46.286713358860204,매수
2000-01-24,5700.0,39.16726237626879,매수
2000-01-25,5440.0,31.60528467127962,매수
2000-01-26,5480.0,33.72526344277079,매수
2000-01-27,5520.0,35.866089444836874,매수
2000-01-28,5820.0,49.136528836013774,매수
2000-01-31,5580.0,41.702353252889104,매수
2000-02-01,5320.0,35.44574161812927,매수
2000-02-02,5250.0,33.9681321118493,매수
2000-02-03,5130.0,31.540763662351466,매수
2000-02-04,5130.0,31.540763662351473,매수
2000-02-07,5240.0,36.37442855685899,매수
2000-02-08,5430.0,43.76077110938469,매수
2000-02-09,5720.0,52.772738171465086,매도
2000-02-10,5760.0,53.8707408386712,매도
2000-02-11,5700.0,51.920771822281175,매도
2000-02-14,5380.0,42.98426691151236,매수
2000-02-15,5200.0,38.925721245201544,매수
2000-02-16,5000.0,34.97430991610415,매수
2000-02-17,5080.0,37.69862826858816,매수
2000-02-18,5300.0,44.57551582570366,매수
2000-02-21,5070.0,39.648227970283386,매수
2000-02-22,5120.0,41.1706411130903,매수
2000-02-23,5140.0,41.8030347787475,매수
2000-02-24,5070.0,40.17522216154417,매수
2000-02-25,5120.0,41.915091194840244,매수
2000-02-28,4800.0,34.91622883892131,매수
2000-02-29,5120.0,44.83591901290511,매수
2000-03-01,5120.0,44.8359190129051,매수
2000-03-02,5880.0,61.147005110320016,매도
2000-03-03,6000.0,63.00694548652326,매도
2000-03-06,5640.0,54.56748982963771,매도
2000-03-07,5620.0,54.133673706581845,매도
2000-03-08,5920.0,59.35365721003711,매도
2000-03-09,5620.0,52.87333550500238,매도
2000-03-10,5540.0,51.26590887491089,매도
2000-03-13,5180.0,44.68278692555416,매수
2000-03-14,5210.0,45.31300483054505,매수
2000-03-15,5400.0,49.25604994688831,매수
2000-03-16,5400.0,49.25604994688831,매수
2000-03-17,5480.0,50.98192629958732,매도
2000-03-20,5660.0,54.71405048927751,매도
2000-03-21,5880.0,58.83901714189621,매도
2000-03-22,6200.0,63.97861720065657,매도
2000-03-23,6200.0,63.978617200656586,매도
2000-03-24,6800.0,71.6707852600512,매도
2000-03-27,6800.0,71.6707852600512,매도
2000-03-28,7030.0,74.12707640170545,매도
2000-03-29,7660.0,79.39669896924887,매도
2000-03-30,7050.0,65.48844396601291,매도
2000-03-31,6700.0,59.09222352474999,매도
2000-04-03,7100.0,63.48199963278304,매도
2000-04-04,6800.0,58.41869246034695,매도
2000-04-05,6800.0,58.418692460346946,매도
2000-04-06,6680.0,56.334270176576325,매도
2000-04-07,7200.0,62.56720901520541,매도
2000-04-10,7300.0,63.642022720689575,매도
2000-04-11,7100.0,59.93539445375213,매도
2000-04-12,6910.0,56.56492377059723,매도
2000-04-13,6910.0,56.56492377059724,매도
2000-04-14,6260.0,46.24646467198016,매수
2000-04-17,5520.0,37.79383805438868,매수
2000-04-18,6040.0,45.3524209561046,매수
2000-04-19,6000.0,44.900461878497595,매수
2000-04-20,6020.0,45.1945497245182,매수
2000-04-21,6050.0,45.66303980445529,매수
2000-04-24,5800.0,42.4095896543699,매수
2000-04-25,5640.0,40.42446285345845,매수
2000-04-26,5600.0,39.9213629494042,매수
2000-04-27,5400.0,37.41409954539531,매수
2000-04-28,6000.0,47.97119383921529,매수
2000-05-01,6000.0,47.97119383921529,매수
2000-05-02,6280.0,52.32376605495862,매도
2000-05-03,6180.0,50.6926903559239,매도
2000-05-04,6180.0,50.69269035592389,매도
2000-05-05,6180.0,50.6926903559239,매도
2000-05-08,6560.0,57.04748303925341,매도
2000-05-09,6560.0,57.04748303925341,매도
2000-05-10,6350.0,52.694745728093736,매도
2000-05-11,6350.0,52.69474572809375,매도
2000-05-12,6160.0,48.78860368341439,매수
2000-05-15,6440.0,54.17915213269998,매도
2000-05-16,6800.0,60.007834746013785,매도
2000-05-17,6920.0,61.75427453894887,매도
2000-05-18,6800.0,58.98049587709811,매도
2000-05-19,6900.0,60.569906189070885,매도
2000-05-22,6670.0,55.26577335890458,매도
2000-05-23,6380.0,49.39258303862067,매수
